Health Plan Provider ID|Network Code|First Name|Last Name|Business Name|NPI|Tax ID|Provider Type|Provider Assigned Members|Full or Part Time|In Person After Hours|Supervising Specialist|Supervising NPI|Specialization Certificate|Health Plan Address ID|Address Type|Clinic Name|Address 1|Address 2|Address 3|City|State Abbreviation|Zip Code|County Name|Phone Number|Fax Number|Email|Latitude|Longitude|Location Assigned Members|Taxonomy Code|Specialty Code|Primary Specialty|Board Certified|Board Eligible|Is PCP|Accepting New Patients|Accepting New Referrals|Network Tier ID|Provider Group Name|Outpatient Appointment Availability|In Directory|Contract Effective Date|Contract Termination Date
PRV000001|NW0001|Anthony|Stark|Stark Health Enterprises|9123456780|951234567|PHYSICIAN|100|FT|TRUE||||ADDR0001|PHYSICAL|Mark I Medical Clinic|123 Pacific Coast Highway|Suite 105||Malibu|CA|90265|LOS ANGELES|323-555-1212|323-555-1313|stark@starkhealthent.com|||100|NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE||Stark Industries Physicians|FALSE|YES|2019-01-01|2020-12-31
PRV000002|NW0001|Bruce|Banner|Big Green Medical Center|9087654321|957654321|PHYSICIAN|0|FT|TRUE||||ADDR0002|PHYSICAL|Gamma First Clinic|555 Mean Street|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|banner@gammaclinic.com|||0|207U00000X|36|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE|||TRUE|OMITTED|2019-01-01|2019-12-31
|NW0001|Missing|HP Prov ID|Missing HP Prov ID|1234567890|123456789|PHYSICIAN||FT|TRUE||||ADDR0003|PHYSICAL|Missing HP Prov ID|Missing HP Prov ID|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com||||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 1|ERROR TEST 1|TRUE|YES|2020-01-01|2020-12-31
PRV000003||Missing|Network Code|Missing Network Code|1234567891|123456780|PHYSICIAN||FT|TRUE||||ADDR0004|PHYSICAL|Missing Network Code|Missing Network Code|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com||||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 2|ERROR TEST 2|TRUE|YES|2020-01-01|2020-12-31
PRV000004|NW0001||Missing First Name|Missing First Name|1234567892|123456781|PHYSICIAN||FT|TRUE||||ADDR0005|PHYSICAL|Missing First Name|Missing First Name|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com||||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 3|ERROR TEST 3|TRUE|YES|2020-01-01|2020-12-31
PRV000005|NW0001|Missing Last Name||Missing Last Name|1234567893|123456782|PHYSICIAN||FT|TRUE||||ADDR0006|PHYSICAL|Missing Last Name|Missing Last Name|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com||||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 4|ERROR TEST 4|TRUE|YES|2020-01-01|2020-12-31
PRV000006||||Missing Name and Network Code|1234567894|123456783|PHYSICIAN||FT|TRUE||||ADDR0007|PHYSICAL|Missing Name and Network Code|Missing Name and Network Code|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com||||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 5|ERROR TEST 5|TRUE|YES|2020-01-01|2020-12-31
PRV000007|NW0001|Missing|Specialty Codes|Missing Specialty Codes|1234567895|123456784|PHYSICIAN||FT|TRUE||||ADDR0008|PHYSICAL|Missing Specialty Codes|Missing Specialty Codes|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com||||||TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 6|ERROR TEST 6|TRUE|YES|2020-01-01|2020-12-31
PRV000008|NW0001|Mismatched|Specialty Codes|Mismatched Specialty Codes|1234567896|123456785|PHYSICIAN||FT|TRUE||||ADDR0009|PHYSICAL|Mismatched Specialty Codes|Mismatched Specialty Codes|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com||||208600000X|01|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 7|ERROR TEST 7|TRUE|YES|2020-01-01|2020-12-31
PRV000009|BAD|Bad|Network Code|Bad Network Code|1234567897|123456786|PHYSICIAN||FT|TRUE||||ADDR0010|PHYSICAL|Bad Network Code|Bad Network Code|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com||||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 8|ERROR TEST 8|TRUE|YES|2020-01-01|2020-12-31
