Health Plan Provider ID|Network Code|First Name|Last Name|Business Name|NPI|Tax ID|Provider Type|Provider Assigned Members|Full or Part Time|In Person After Hours|Supervising Specialist|Supervising NPI|Specialization Certificate|Health Plan Address ID|Address Type|Clinic Name|Address 1|Address 2|Address 3|City|State Abbreviation|Zip Code|County Name|Phone Number|Fax Number|Email|Latitude|Longitude|Location Assigned Members|Taxonomy Code|Specialty Code|Primary Specialty|Board Certified|Board Eligible|Is PCP|Accepting New Patients|Accepting New Referrals|Network Tier ID|Provider Group Name|Outpatient Appointment Availability|In Directory|Contract Effective Date|Contract Termination Date
PRV200016|NW001|Vincent|Balton||1441510605||PHYSICIAN|135|FT|TRUE||||ADDR200016|PHYSICAL||6126 SW Pear Ridge Ct|Suite 116||Del Mar|CA|92014|SAN DIEGO|858-555-0016|858-777-0016|vincent.balton@example.com|||135|NONE|01|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2020-01-01|
PRV200273|NW001|Frances|Pantelakis||1448115365||PHYSICIAN|20|FT|TRUE||||ADDR200273|PHYSICAL||4955 NW Aster Hill Cir|||Vista|CA|92084|SAN DIEGO|619-555-0273|619-777-0273|frances.pantelakis@example.com|||20|NONE|C7|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-01-01|
PRV200268|NW001|Isabella|Pagels||1447760727||PHYSICIAN|139|FT|TRUE||||ADDR200268|PHYSICAL||865 Colorado Dr|Suite 368||Dulzura|CA|91917|SAN DIEGO|858-555-0268|858-777-0268|isabella.pagels@example.com|||139|NONE|39|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2020-01-01|
PRV200239|NW001|Ann|Matteo||1442519936||PHYSICIAN|26|FT|TRUE||||ADDR200239|PHYSICAL||5168 E Ivy Hill Cyn|||Oceanside|CA|92057|SAN DIEGO|858-555-0239|858-777-0239|ann.matteo@example.com|||26|NONE|C3|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2020-01-01|
PRV200006|NW001|Roy|Arfman||1447798572||PHYSICIAN|58|FT|TRUE||||ADDR200006|PHYSICAL||2518 SE 54th Ave|||Campo|CA|91906|SAN DIEGO|619-555-0006|619-777-0006|roy.arfman@example.com|||58|NONE|37|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-01-01|
PRV200155|NW001|Carolyn|Heiberger||1443593395||PHYSICIAN|122|FT|TRUE||||ADDR200155|PHYSICAL||6076 E Oak Ridge St|||Escondido|CA|92025|SAN DIEGO|858-555-0155|858-777-0155|carolyn.heiberger@example.com|||122|NONE|11|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-07-01|2020-12-31
PRV200285|NW001|Todd|Pilarski||1441748102||PHYSICIAN|24|FT|TRUE||||ADDR200285|PHYSICAL||879 NE Connecticut Cv|||Valley Center|CA|92082|SAN DIEGO|619-555-0285|619-777-0285|todd.pilarski@example.com|||24|NONE|C3|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-07-01|2020-12-31
PRV200117|NW001|Kathy|Furgason||1448002741||PHYSICIAN|14|FT|TRUE||||ADDR200117|PHYSICAL||8933 SW Brightharp Park|||San Diego|CA|92110|SAN DIEGO|619-555-0117|619-777-0117|kathy.furgason@example.com|||14|NONE|01|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-01-01|
PRV200041|NW001|Leonard|Burden||1441310750||PHYSICIAN|40|FT|TRUE||||ADDR200041|PHYSICAL||5623 SW Hemlock Rock Pass|||San Diego|CA|92116|SAN DIEGO|858-555-0041|858-777-0041|leonard.burden@example.com|||40|NONE|11|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2020-01-01|
PRV200301|NW001|James|Raus||1449628017||PHYSICIAN|88|FT|TRUE||||ADDR200301|PHYSICAL||2824 SE 88th Pike|||Rancho Santa Fe|CA|92091|SAN DIEGO|858-555-0301|858-777-0301|james.raus@example.com|||88|NONE|66|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2020-01-01|
PRV200171|NW001|Sophia|Highshaw||1444205418||PHYSICIAN|25|FT|TRUE||||ADDR200171|PHYSICAL||7295 SE Holly Crest Blvd|||San Diego|CA|92129|SAN DIEGO|619-555-0171|619-777-0171|sophia.highshaw@example.com|||25|NONE|16|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-01-01|
PRV200375|NW001|Danny|Wachtel||1441141975||PHYSICIAN|50|FT|TRUE||||ADDR200375|PHYSICAL||6809 SE Aspen Forest Pike|||Potrero|CA|91963|SAN DIEGO|619-555-0375|619-777-0375|danny.wachtel@example.com|||50|NONE|86|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-07-01|2020-12-31
PRV200067|NW001|Kelly|Courtenay||1447297279||PHYSICIAN|91|FT|TRUE||||ADDR200067|PHYSICAL||3358 N 148th Pkwy|||Del Mar|CA|92014|SAN DIEGO|858-555-0067|858-777-0067|kelly.courtenay@example.com|||91|NONE|01|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2020-01-01|
PRV200164|NW001|Jerry|Heter||1441283563||PHYSICIAN|145|FT|TRUE||||ADDR200164|PHYSICAL||5440 NE Alder Rock St|Suite 264||Pine Valley|CA|91962|SAN DIEGO|858-555-0164|858-777-0164|jerry.heter@example.com|||145|NONE|08|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2020-01-01|
PRV200213|NW001|Teresa|Kujala||1447913284||PHYSICIAN|127|FT|TRUE||||ADDR200213|PHYSICAL||2851 SE 91st Vly|||San Diego|CA|92116|SAN DIEGO|619-555-0213|619-777-0213|teresa.kujala@example.com|||127|NONE|13|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-01-01|
PRV200265|NW001|Michael|Otting||1441780013||PHYSICIAN|15|FT|TRUE||||ADDR200265|PHYSICAL||11024 E McDaniels Pass|||San Diego|CA|92109|SAN DIEGO|858-555-0265|858-777-0265|michael.otting@example.com|||15|NONE|06|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-07-01|2020-12-31
PRV200192|NW001|Roger|Kaminaka||1441513585||PHYSICIAN|82|FT|TRUE||||ADDR200192|PHYSICAL||5906 E Fir Pointe Rd|Suite 292||Fallbrook|CA|92028|SAN DIEGO|619-555-0192|619-777-0192|roger.kaminaka@example.com|||82|NONE|11|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE||Scripps Health|TRUE|YES|2019-01-01|
