Health Plan Provider ID|Network Code|First Name|Last Name|Business Name|NPI|Tax ID|Provider Type|Full or Part Time|In Person After Hours|Supervising Specialist|Supervising NPI|Specialization Certificate|Health Plan Address ID|Address Type|Clinic Name|Address 1|Address 2|Address 3|City|State Abbreviation|Zip Code|County Name|Phone Number|Fax Number|Email|Latitude|Longitude|Taxonomy Code|Specialty Code|Primary Specialty|Board Certified|Board Eligible|Is PCP|Accepting New Patients|Accepting New Referrals|Network Tier ID|Provider Group Name|Outpatient Appointment Availability|In Directory|Created At|Processed At Date|Record Status|Load File Name|Provider ID|Provider Network ID|Provider Address ID|Provider Taxonomy ID|Network ID|Contract Effective Date|Contract Termination Date|Provider Assigned Members|Location Assigned Members
PRV000001|NW0001|Anthony|Stark|Stark Health Enterprises|9123456780|951234567|PHYSICIAN|FT|TRUE||||ADDR0001|PHYSICAL|Mark I Medical Clinic|321 Pacific Coast Highway|Suite 105||Malibu|CA|90265|LOS ANGELES|323-555-1212|323-555-1313|stark@starkhealthent.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE||Stark Industries Physicians|FALSE|YES||||||||||2019-01-01|2020-12-31|100|100
PRV000032|NW0001|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0031|PHYSICAL|Hawk's Nest Medical Clinic - Del Mar|8091 Bow Street|||Del Mar|CA|92014|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208200000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000032|NW0001|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0032|PHYSICAL|Hawk's Nest Medical Clinic - El Cajon|32098 Avenger Blvd|Suite 205||El Cajon|CA|92019|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208200000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000032|NW0002|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0031|PHYSICAL|Hawk's Nest Medical Clinic - Del Mar|8091 Bow Street|||Del Mar|CA|92014|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208C00000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000032|NW0002|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0032|PHYSICAL|Hawk's Nest Medical Clinic - El Cajon|32098 Avenger Blvd|Suite 205||El Cajon|CA|92019|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208C00000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000033|NW0001|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0033|PHYSICAL|Southern California Primary Care Associates - Newport|9870 Pacific Coast Highway|Suite 110||Newport Beach|CA|92660|ORANGE|949-555-7777|949-555-8888|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|72
PRV000033|NW0001|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0034|PHYSICAL|Southern California Primary Care Associates - Laguna|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|ORANGE|949-555-9999|949-555-0001|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|19
PRV000033|NW0002|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0033|PHYSICAL|Southern California Primary Care Associates - Newport|9870 Pacific Coast Highway|Suite 110||Newport Beach|CA|92660|ORANGE|949-555-7777|949-555-8888|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|31
PRV000033|NW0002|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0034|PHYSICAL|Southern California Primary Care Associates - Laguna|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|ORANGE|949-555-9999|949-555-0001|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|28
PRV000034|NW0001|Natasha|Romanov|Orange County Neurology|9998887774|951112225|PHYSICIAN|FT|FALSE||||ADDR0035|PHYSICAL|Orange County Neurology - Huntington|19321 Beach Blvd|Suite 420||Huntington Beach|CA|92646|ORANGE|949-777-0002|949-777-0001|romanov@ocneuro.com|||NONE|13|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE||Orange County Neurology|FALSE|YES||||||||||2020-01-01||0|0
